id;skill;name;skills;date;address;contract_type;qualification;experience;languages
166DXFK;python;LLTECH MANAGEMENT;Améliorer la qualité des images,Analyse Dynamic Cell Imaging et Diagnostic,Computer Vision,Application web,Concevoir une application web,Methode Agile,Programmation (Python, C++),Utilisation de Frameworks;Actualisé le 20 décembre 2023;75 - PARIS 13;Contrat à durée indéterminée;Cadre;6 mois;Anglais
165ZZMZ;python;SETELIA;1ère expérience en Réseaux et Télécommunications,Anglais technique,Réseaux de télécommunication,Architecture réseau,Concevoir et gérer un projet,Réseaux informatiques et télécoms,Informatique : C ; C++ ; Python ; Linux,Méthodologie Agile et SCRUM,Réseaux IMS et SS7;Actualisé le 20 décembre 2023;75 - PARIS 02;Contrat à durée indéterminée;Cadre;Débutant accepté;
165WQSP;python;W4TCH;Application web,Concevoir une application web,Coder,CSS,Développer une application en lien avec une base de données,HTML,Intégrer des outils IA/Data Science,PHP,Python,SQL;Actualisé le 20 décembre 2023;75 - PARIS 08;Contrat à durée indéterminée;Technicien;2 ans;
165NGCB;python;CENTRE FOR ECONOMIC POLICY RESEARCH CEPR;3 ans d'experience à l'étranger,API et hooks des core systems Drupal,Application web,Codage en PHP et Drupal (7,8,9),Concevoir une application web,Création et de suivi de modules Drupal spéciaux,Langages back-end (PHP, Javascript, SQL),Langages Laravel 8/9/10,Langages REST / REACT / Python,Linux (Ubuntu >18.04 LTS) par command line,Management de projets sous JIRA,Utilisation de systèmes CRM;Actualisé le 20 décembre 2023;75 - PARIS 07;Contrat à durée indéterminée;Agent de maîtrise;3 ans;
164YKZV;python;WAKEO;Actualiser régulièrement ses connaissances,Animer une démarche agile et innovante,Application web,Coder,Communiquer à l'oral en langue étrangère,Communiquer à l'écrit en langue étrangère,Concevoir et développer une solution digitale,Concevoir une application web,Créer une documentation technique,Déterminer des mesures correctives,Développer un logiciel, un système d'informations, une application,Préparer et animer une réunion, un groupe de travail, un atelier,Python,Ruby,Proposer des pistes d'amélioration des solutions,Structurer, synthétiser des informations,Tester un logiciel, un système d'informations, une application,Vérifier la compatibilité des développements produits avec les spécifications;Actualisé le 20 décembre 2023;75 - Paris (Dept.);Contrat à durée indéterminée;Cadre;5 ans;Anglais
166LHSN;python;SAS K-LAGAN FRANCE;;Actualisé le 20 décembre 2023;75 - PARIS 16;Contrat à durée indéterminée;Cadre;2 ans;
166BKXD;python;POLYCONSEIL;Application web,Concevoir une application web;Actualisé le 20 décembre 2023;75 - PARIS 09;Contrat à durée indéterminée;Cadre;6 mois;Français
165XBHS;python;NUKKAI;Application web,Concevoir une application web,Déterminer des mesures correctives;Actualisé le 19 décembre 2023;75 - PARIS 13;Contrat à durée indéterminée;Employé qualifié;3 ans - débutant accepté si compétences;Anglais
166BKSB;python;POLYCONSEIL;;Actualisé le 20 décembre 2023;75 - PARIS 09;Contrat à durée indéterminée;Cadre;1 an;Français
166NDTQ;python;BRAIN WORK OFFICE;Assurer un support commercial soutenu : prospection, vente de produits et services additionnels,Développer et fidéliser la relation client,Développer l'esprit d'équipe,Goût de la prospection téléphonique,Maîtrise des outils informatiques (Internet, messagerie électronique) et bureautiques (Word, Excel, PowerPoint),Maîtrise des techniques de vente à distance et de négociation,Répondre à un appel d'offre,Techniques commerciales;Actualisé le 19 décembre 2023;75 - PARIS 11;Contrat à durée indéterminée;Agent de maîtrise;2 ans;
